Tarefa;Evento Plugin
IWO-Falha_de_TI-Concluir_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Falha_de_TI-Criar_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Falha_de_TI-Modificar_Equipamento.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Investigacao_e_Diagnostico.manualTask;Workforce_UpdateTaskSLA_Plugin
IWO-Modificar_Monitoramento_de_Gerencia_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Receber_Pedido_de_Equipamento.manualTask;Workforce_UpdateTaskSLA_Plugin
IWO-Solicitar_Equipamento.manualTask;WFCampoAndUpdateTaskSLA_Plugin
IWO-Tratativa.manualTask;Plugin_WorkforceAndUpdateTaskSLATratativa
IWO-Tratativa_Parceiro.manualTask;Workforce_UpdateTaskSLA_Plugin
Liberar_Par_Metalico_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Modificar_e_Testar_Servicos.manualTask;WFCampoAndUpdateTaskSLA_Plugin
Negociar_Contrato_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_dados_do_BGP.manualTask;Workforce_UpdateTaskSLA_Plugin
Obter_Dados_do_Provedor.manualTask;Workforce_UpdateTaskSLA_Plugin
Obter_Detalhes_da_Estacao_de_Entrega.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_Detalhes_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_Detalhes_de_Rede_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_detalhes_do_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_detalhes_do_Last_Mile_Parceiro_Modificacao.manualTask;WorkforceAndBuscaSLA_Plugin
Obter_detalhes_do_Last_Mile_Parceiro_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Pendencia_Gerente_de_Projetos.manualTask;WorkforceAndBuscaSLA_Plugin
Reconfiguracao_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Reconfiguracao_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Reconfiguracao_Manual_P2P.manualTask;Workforce_UpdateTaskSLA_Plugin
Reconfiguracao_Manual_P2P_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Reconfiguracao_Manual_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Redesenhar_Network.manualTask;WorkforceAndBuscaSLA_Plugin
Redesenhar_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Redesenhar_Rede_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Redesenhar_Rede_Manual_P2P.manualTask;Workforce_UpdateTaskSLA_Plugin
